mode,species,sp_code,ssp,period,suitability,SRSin,GRSin,ERSin,FCSin
migration,Malus coronaria,cor,historical,2000,high,4.891304347826087,3.265587893455326,100,36.05229741376047
migration,Malus coronaria,cor,245,2030,high,5.5045871559633035,7.799190572263994,100,37.7679259094091
migration,Malus coronaria,cor,245,2050,high,10,13.685137111118143,100,41.22837903703938
migration,Malus coronaria,cor,245,2070,high,0,16.87789259245878,100,38.9592975308196
migration,Malus coronaria,cor,585,2030,high,4.705882352941177,9.319781448465672,100,38.00855460046895
migration,Malus coronaria,cor,585,2050,high,0,18.183578495883015,100,39.39452616529434
migration,Malus coronaria,cor,585,2070,high,0,16.998210912297136,100,38.99940363743238
migration,Malus fusca,fus,historical,2000,high,14.285714285714285,8.654521418220652,100,40.98007856797831
migration,Malus fusca,fus,245,2030,high,20.833333333333336,18.58058368152373,100,46.47130567161902
migration,Malus fusca,fus,245,2050,high,20.858895705521473,21.518572440576477,100,47.45915604869931
migration,Malus fusca,fus,245,2070,high,20.958083832335326,23.18032091181909,100,48.04613491471814
migration,Malus fusca,fus,585,2030,high,20.689655172413794,19.326897819721157,100,46.67218433071165
migration,Malus fusca,fus,585,2050,high,21.398305084745765,23.639299993072925,100,48.3458683592729
migration,Malus fusca,fus,585,2070,high,20.649651972157773,28.81286013573508,100,49.82083736929762
migration,Malus ioensis,ion,historical,2000,high,5.555555555555555,2.393117508549287,100,35.98289102136828
migration,Malus ioensis,ion,245,2030,high,6.629834254143646,3.7186820213311615,100,36.7828387584916
migration,Malus ioensis,ion,245,2050,high,7.964601769911504,5.435080879681251,100,37.799894216530916
migration,Malus ioensis,ion,245,2070,high,7.352941176470589,6.593373984016895,100,37.98210505349583
migration,Malus ioensis,ion,585,2030,high,7.18562874251497,3.982004815422157,100,37.05587785264571
migration,Malus ioensis,ion,585,2050,high,8.333333333333332,6.608561381718468,100,38.313964905017265
migration,Malus ioensis,ion,585,2070,high,0,9.794594995100427,100,36.59819833170014
migration,Malus angustifolia,ang,historical,2000,high,11.009174311926607,5.893130974069137,100,38.967435095331915
migration,Malus angustifolia,ang,245,2030,high,12.82051282051282,15.234445867868319,100,42.68498622946038
migration,Malus angustifolia,ang,245,2050,high,15.151515151515152,18.259859916779945,100,44.47045835609836
migration,Malus angustifolia,ang,245,2070,high,16,18.38618140602801,100,44.795393802009336
migration,Malus angustifolia,ang,585,2030,high,14.285714285714285,16.030423441619806,100,43.43871257577803
migration,Malus angustifolia,ang,585,2050,high,16.666666666666664,19.53648312313155,100,45.40104992993274
migration,Malus angustifolia,ang,585,2070,high,9.090909090909092,25.362872402374343,100,44.817927164427815
migration,Sect. Chloromeles,chl,historical,2000,high,6.851119894598155,3.762036502736427,100,36.87105213244486
migration,Sect. Chloromeles,chl,245,2030,high,6.481481481481481,6.221404874260407,100,37.567628785247294
migration,Sect. Chloromeles,chl,245,2050,high,7.1942446043165464,8.361772525456052,100,38.518672376590864
migration,Sect. Chloromeles,chl,245,2070,high,6.030150753768844,9.004542057580093,100,38.34489760378298
migration,Sect. Chloromeles,chl,585,2030,high,6.521739130434782,6.956709908452484,100,37.82614967962909
migration,Sect. Chloromeles,chl,585,2050,high,6.698564593301436,8.710405807406701,100,38.469656800236045
migration,Sect. Chloromeles,chl,585,2070,high,8.695652173913043,9.977817927910518,100,39.55782336727452
